"party","modeldate","yes_estimate"
"rep",2019-10-09,13.30276
"ind",2019-10-09,44.42458
"dem",2019-10-09,83.37975
"dem",2019-10-08,83.05876
"rep",2019-10-08,13.53738
"ind",2019-10-08,45.08298
"dem",2019-10-07,82.31651
"ind",2019-10-07,45.30635
"rep",2019-10-07,14.41592
"rep",2019-10-06,15.15178
"dem",2019-10-06,80.67793
"ind",2019-10-06,44.71933
"ind",2019-10-05,41.21911
"rep",2019-10-05,13.68239
"dem",2019-10-05,79.15336
"dem",2019-10-04,78.8896
"ind",2019-10-04,41.21911
"rep",2019-10-04,13.88853
"ind",2019-10-03,41.21911
"rep",2019-10-03,13.88853
"dem",2019-10-03,78.8896
"ind",2019-10-02,41.30194
"dem",2019-10-02,79.14883
"rep",2019-10-02,12.53013
"dem",2019-10-01,79.52609
"rep",2019-10-01,12.11764
"ind",2019-10-01,41.51033
"ind",2019-09-30,42.7961
"rep",2019-09-30,12.3892
"dem",2019-09-30,79.35397
"rep",2019-09-29,12.68073
"ind",2019-09-29,42.29112
"dem",2019-09-29,79.04333
"ind",2019-09-28,40.55323
"rep",2019-09-28,12.25358
"dem",2019-09-28,77.89877
"dem",2019-09-27,77.89877
"ind",2019-09-27,40.55323
"rep",2019-09-27,12.25358
"rep",2019-09-26,9.336895
"ind",2019-09-26,37.40062
"dem",2019-09-26,75.47726
"dem",2019-09-25,73.58596
"ind",2019-09-25,36.33539
"rep",2019-09-25,8.137171
"ind",2019-09-24,34.40601
"rep",2019-09-24,8.510169
"dem",2019-09-24,70.88675
"ind",2019-09-23,34.68036
"rep",2019-09-23,8.849951
"dem",2019-09-23,71.91502
"dem",2019-09-22,70.5908
"rep",2019-09-22,8.832684
"ind",2019-09-22,33.93178
"rep",2019-09-21,9.720815
"ind",2019-09-21,33.86127
"dem",2019-09-21,71.55097
"rep",2019-09-20,9.720815
"ind",2019-09-20,33.86127
"dem",2019-09-20,71.55097
"ind",2019-09-19,33.86127
"rep",2019-09-19,9.720815
"dem",2019-09-19,71.55097
"dem",2019-09-18,71.55097
"ind",2019-09-18,33.86127
"rep",2019-09-18,9.720815
"ind",2019-09-17,33.86127
"rep",2019-09-17,9.720815
"dem",2019-09-17,71.55097
"rep",2019-09-16,9.720815
"dem",2019-09-16,71.55097
"ind",2019-09-16,33.86127
"dem",2019-09-15,71.10723
"ind",2019-09-15,34.07283
"rep",2019-09-15,8.829132
"ind",2019-09-14,34.68771
"rep",2019-09-14,9.300716
"dem",2019-09-14,70.49465
"dem",2019-09-13,70.49465
"rep",2019-09-13,9.300716
"ind",2019-09-13,34.68771
"rep",2019-09-12,9.300716
"dem",2019-09-12,70.49465
"ind",2019-09-12,34.68771
"dem",2019-09-11,70.49465
"rep",2019-09-11,9.300716
"ind",2019-09-11,34.68771
"dem",2019-09-10,69.40022
"ind",2019-09-10,34.04877
"rep",2019-09-10,7.633274
"rep",2019-09-09,7.633274
"ind",2019-09-09,34.04877
"dem",2019-09-09,69.40022
"dem",2019-09-08,69.25748
"ind",2019-09-08,34.45115
"rep",2019-09-08,7.292864
"ind",2019-09-07,35.28571
"dem",2019-09-07,71.26157
"rep",2019-09-07,8.000834
"ind",2019-09-06,35.28571
"rep",2019-09-06,8.000834
"dem",2019-09-06,71.26157
"ind",2019-09-05,35.28571
"rep",2019-09-05,8.000834
"dem",2019-09-05,71.26157
"ind",2019-09-04,35.28571
"dem",2019-09-04,71.26157
"rep",2019-09-04,8.000834
"rep",2019-09-03,8.000834
"ind",2019-09-03,35.28571
"dem",2019-09-03,71.26157
"ind",2019-09-02,35.28571
"rep",2019-09-02,8.000834
"dem",2019-09-02,71.26157
"rep",2019-09-01,8.59335
"ind",2019-09-01,34.39123
"dem",2019-09-01,70.28587
"ind",2019-08-31,34.39123
"rep",2019-08-31,8.59335
"dem",2019-08-31,70.28587
"ind",2019-08-30,34.39123
"rep",2019-08-30,8.59335
"dem",2019-08-30,70.28587
"dem",2019-08-29,70.28587
"ind",2019-08-29,34.39123
"rep",2019-08-29,8.59335
"rep",2019-08-28,8.59335
"dem",2019-08-28,70.28587
"ind",2019-08-28,34.39123
"rep",2019-08-27,8.59335
"dem",2019-08-27,70.28587
"ind",2019-08-27,34.39123
"dem",2019-08-26,70.28587
"ind",2019-08-26,34.39123
"rep",2019-08-26,8.59335
"rep",2019-08-25,8.212267
"dem",2019-08-25,70.1151
"ind",2019-08-25,33.42746
"ind",2019-08-24,33.33755
"dem",2019-08-24,69.55782
"rep",2019-08-24,8.388264
"ind",2019-08-23,33.33755
"rep",2019-08-23,8.388264
"dem",2019-08-23,69.55782
"dem",2019-08-22,69.55782
"ind",2019-08-22,33.33755
"rep",2019-08-22,8.388264
"rep",2019-08-21,8.388264
"ind",2019-08-21,33.33755
"dem",2019-08-21,69.55782
"ind",2019-08-20,33.33755
"rep",2019-08-20,8.388264
"dem",2019-08-20,69.55782
"rep",2019-08-19,9.729418
"ind",2019-08-19,34.28102
"dem",2019-08-19,69.7234
"ind",2019-08-18,34.85954
"rep",2019-08-18,8.942824
"dem",2019-08-18,69.7057
"dem",2019-08-17,70.30132
"ind",2019-08-17,34.35067
"rep",2019-08-17,10.22849
"dem",2019-08-16,70.30132
"rep",2019-08-16,10.22849
"ind",2019-08-16,34.35067
"dem",2019-08-15,70.30132
"rep",2019-08-15,10.22849
"ind",2019-08-15,34.35067
"rep",2019-08-14,10.22849
"ind",2019-08-14,34.35067
"dem",2019-08-14,70.30132
"dem",2019-08-13,70.30132
"rep",2019-08-13,10.22849
"ind",2019-08-13,34.35067
"ind",2019-08-12,34.35067
