"modeldate","party","yes_estimate"
2019-10-01 12:00:00,"rep",17
2019-10-01 12:00:00,"dem",72
2019-10-01 12:00:00,"ind",37
2019-09-30 12:00:00,"rep",14
2019-09-30 12:00:00,"dem",79
2019-09-30 12:00:00,"ind",35
2019-10-06 12:00:00,"rep",16
2019-10-06 12:00:00,"dem",83
2019-10-06 12:00:00,"ind",40
2019-10-03 12:00:00,"rep",28
2019-10-03 12:00:00,"dem",86
2019-10-03 12:00:00,"ind",57
2019-10-02 00:00:00,"rep",29
2019-10-02 00:00:00,"rep",24
2019-10-02 00:00:00,"dem",76
2019-10-02 00:00:00,"ind",40
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",85
2019-10-05 12:00:00,"ind",43
2019-10-05 12:00:00,"rep",9
2019-10-05 12:00:00,"dem",94
2019-10-05 12:00:00,"ind",55
2019-10-05 00:00:00,"rep",11
2019-10-05 00:00:00,"dem",75
2019-10-05 00:00:00,"ind",39
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",79
2019-10-07 12:00:00,"ind",31
2019-10-07 12:00:00,"rep",16
2019-10-07 12:00:00,"dem",83
2019-10-07 12:00:00,"ind",44
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",88
2019-10-07 12:00:00,"ind",44
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",88
2019-10-07 12:00:00,"ind",43
2019-10-08 12:00:00,"rep",12
2019-10-08 12:00:00,"dem",87
2019-10-08 12:00:00,"ind",37
2019-10-08 12:00:00,"rep",10
2019-10-08 12:00:00,"dem",86
2019-10-08 12:00:00,"ind",36
2019-10-04 12:00:00,"rep",16
2019-10-04 12:00:00,"dem",86
2019-10-04 12:00:00,"ind",51
2019-10-07 00:00:00,"rep",13
2019-10-07 00:00:00,"dem",85
2019-10-07 00:00:00,"ind",39
2019-10-04 12:00:00,"rep",9.67
2019-10-04 12:00:00,"dem",81.64
2019-10-05 12:00:00,"rep",9
2019-10-05 12:00:00,"dem",86
2019-10-05 12:00:00,"ind",54
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",87
2019-10-05 12:00:00,"ind",47
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",85
2019-10-05 12:00:00,"ind",45
2019-10-04 12:00:00,"rep",14
2019-10-04 12:00:00,"dem",86
2019-10-04 12:00:00,"ind",48
2019-10-09 12:00:00,"rep",16
2019-10-09 12:00:00,"dem",88
2019-10-09 12:00:00,"ind",47
2019-10-12 00:00:00,"rep",6
2019-10-12 00:00:00,"dem",85
2019-10-12 00:00:00,"ind",42
2019-10-12 00:00:00,"rep",9
2019-10-12 00:00:00,"dem",90
2019-10-12 00:00:00,"ind",50
2019-10-13 12:00:00,"rep",14
2019-10-13 12:00:00,"dem",84
2019-10-13 12:00:00,"ind",46
2019-10-12 00:00:00,"rep",14
2019-10-12 00:00:00,"dem",81
2019-10-12 00:00:00,"ind",51
2019-10-12 00:00:00,"rep",13
2019-10-12 00:00:00,"dem",85
2019-10-12 00:00:00,"ind",49
2019-10-12 00:00:00,"rep",11
2019-10-12 00:00:00,"dem",87
2019-10-12 00:00:00,"ind",48
2019-10-09 12:00:00,"rep",10
2019-10-09 12:00:00,"dem",84
2019-10-09 12:00:00,"ind",36
2019-10-14 12:00:00,"rep",12
2019-10-14 12:00:00,"dem",75
2019-10-14 12:00:00,"ind",33
2019-10-07 00:00:00,"rep",6
2019-10-07 00:00:00,"dem",89
2019-10-07 00:00:00,"ind",55
2019-10-14 00:00:00,"rep",15
2019-10-14 00:00:00,"dem",82
2019-10-14 00:00:00,"ind",36
2019-10-14 00:00:00,"rep",16
2019-10-14 00:00:00,"dem",84
2019-10-14 00:00:00,"ind",38
2019-10-14 12:00:00,"rep",10
2019-10-14 12:00:00,"dem",79
2019-10-14 12:00:00,"ind",32
2019-10-07 00:00:00,"rep",15
2019-10-07 00:00:00,"dem",89
2019-10-15 12:00:00,"rep",12
2019-10-15 12:00:00,"dem",85
2019-10-15 12:00:00,"ind",50
2019-10-15 12:00:00,"rep",11
2019-10-15 12:00:00,"dem",81
2019-10-15 12:00:00,"ind",46
2019-09-03 00:00:00,"rep",6
2019-09-03 00:00:00,"dem",78
2019-09-03 00:00:00,"ind",47
2019-10-11 12:00:00,"rep",7
2019-10-11 12:00:00,"dem",88
2019-10-11 12:00:00,"ind",49
2019-10-18 12:00:00,"rep",6
2019-10-18 12:00:00,"dem",87
2019-10-18 12:00:00,"ind",50
2019-10-19 12:00:00,"rep",18.2
2019-10-19 12:00:00,"dem",74.6
2019-10-19 12:00:00,"ind",47.6
2019-10-20 00:00:00,"rep",12
2019-10-20 00:00:00,"dem",77
2019-10-20 00:00:00,"ind",45
2019-10-19 12:00:00,"rep",14
2019-10-19 12:00:00,"dem",82
2019-10-19 12:00:00,"ind",45
2019-10-19 12:00:00,"rep",11
2019-10-19 12:00:00,"dem",85
2019-10-19 12:00:00,"ind",47
2019-10-19 12:00:00,"rep",9
2019-10-19 12:00:00,"dem",86
2019-10-19 12:00:00,"ind",46
2019-10-19 00:00:00,"rep",6
2019-10-19 00:00:00,"dem",86
2019-10-19 00:00:00,"ind",49
